model,run,cv_auc,best_params,use_smote,sample_frac,speed_mode
Bagging,no_smote,0.7862599438678014,"{'baggingclassifier__n_estimators': 10, 'baggingclassifier__max_samples': 0.5, 'baggingclassifier__max_features': 0.5}",False,0.3,fast
GradientBoosting,no_smote,0.8710407843856669,"{'gradientboostingclassifier__n_estimators': 200, 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__learning_rate': 0.1}",False,1.0,balanced
GradientBoosting,smote,0.8626196914859428,"{'gradientboostingclassifier__n_estimators': 200, 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__learning_rate': 0.1}",True,1.0,balanced
HistGradientBoosting,no_smote,0.8709945462722462,"{'histgradientboostingclassifier__max_iter': 100, 'histgradientboostingclassifier__max_depth': 6, 'histgradientboostingclassifier__learning_rate': 0.1}",False,1.0,balanced
HistGradientBoosting,smote,0.8627735035763697,"{'histgradientboostingclassifier__max_iter': 200, 'histgradientboostingclassifier__max_depth': 6, 'histgradientboostingclassifier__learning_rate': 0.1}",True,1.0,balanced
KNN,no_smote,0.5616231916118452,"{'kneighborsclassifier__weights': 'uniform', 'kneighborsclassifier__p': 1, 'kneighborsclassifier__n_neighbors': 3}",False,0.3,fast
LogisticRegression,no_smote,0.8582303296694525,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.1}",False,1.0,balanced
LogisticRegression,smote,0.8267496221855195,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.01}",True,1.0,balanced
RandomForest,no_smote,0.868437559874827,"{'randomforestclassifier__n_estimators': 200, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__max_depth': 10}",False,1.0,balanced
RandomForest,smote,0.8618088882008089,"{'randomforestclassifier__n_estimators': 200, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__max_depth': 10}",True,1.0,balanced
SVM,no_smote,0.8134916293338345,{'linearsvc__C': 0.01},False,0.3,fast
